id,qid1,qid2,question1,question2,is_duplicate
0,1,2,What is the step by step guide to invest in share market in india?,How can you make physics easy to learn?,0
1,3,4,What is the story of Kohinoor (Koh-i-Noor) Diamond?,How can you make physics easy to learn?,0
2,5,6,How can I increase the speed of my internet connection while using a VPN?,How can you make physics easy to learn?,0
3,7,8,Why am I mentally very lonely? How can I solve it?,How can you make physics easy to learn?,0
4,9,10,"Which one dissolve in water quikly sugar, salt, methane and carbon di oxide?",How can you make physics easy to learn?,0
5,11,12,Is physics easy to learn?,How can you make physics easy to learn?,0
6,13,14,Should I buy tiago?,How can you make physics easy to learn?,0
7,15,16,How can I be a good geologist?,How can you make physics easy to learn?,0
8,17,18,When do you use シ instead of し?,How can you make physics easy to learn?,0
9,19,20,Motorola (company): Can I hack my Charter Motorolla DCX3400?,How can you make physics easy to learn?,0
10,21,22,Method to find separation of slits using fresnel biprism?,How can you make physics easy to learn?,0
11,23,24,How do I read and find my YouTube comments?,How can you make physics easy to learn?,0
12,25,26,What can make Physics easy to learn?,How can you make physics easy to learn?,1
13,27,28,What was your first sexual experience like?,How can you make physics easy to learn?,0
14,29,30,"What are the laws to change your status from a student visa to a green card in the US, how do they compare to the immigration laws in Canada?",How can you make physics easy to learn?,0
15,31,32,What is easier physics or chemistry ?,How can you make physics easy to learn?,0
